Date,Open,High,Low,Close,Volume
2010-01-04,84.07807588374169,84.84126314956657,83.43460169303377,84.79637145996094,118944600
2010-01-05,84.74400378292799,85.05825705633967,84.4372286528073,85.02084350585938,111579900
2010-01-06,84.93855432563618,85.29022121603725,84.87121677224401,85.08071899414062,116074400
2010-01-07,84.92356498033823,85.5445933013371,84.68413313120084,85.4398422241211,131091100
2010-01-08,85.21540380700357,85.76161094700659,85.04331513459017,85.72419738769531,126402800
2010-01-11,86.10575737798148,86.14316521287482,85.47724524161757,85.84387969970703,106375700
2010-01-12,85.27522189729622,85.45479433625928,84.71405303059488,85.04327392578125,163333500
2010-01-13,85.26031166663986,86.00105918010574,84.82634512234193,85.76162719726562,161822000
2010-01-14,85.66431692900504,86.15066453802048,85.61194138394222,85.99353790283203,115718800
2010-01-15,85.84388113306966,85.92618065461131,84.69909176291749,85.02831268310547,212283100
2010-01-19,85.01336445515604,86.1431805987205,84.9909129000037,86.09080505371094,139172700
2010-01-20,85.50718521398944,85.63438214322741,84.53449576225056,85.21537780761719,216490200
2010-01-21,85.23784367360426,85.49972144487047,83.47203111805601,83.5767822265625,344859600
2010-01-22,83.20265859458345,83.60670097811244,81.6239026122505,81.71369171142578,345942400
2010-01-25,82.46191905544215,82.61156755765434,81.86334217211343,82.13269805908203,186937500
2010-01-26,81.81097429425876,82.65647277163636,81.58651006699178,81.78852844238281,211168800
2010-01-27,81.68373520766387,82.36462280884083,81.05522884519714,82.17756652832031,271863600
2010-01-28,82.44693675663659,82.49182844199218,80.74098421106099,81.23480987548828,316104000
2010-01-29,81.58649406920821,82.15514694209463,80.22472414018218,80.35192108154297,310677600
2010-02-01,80.92055088415118,81.60891665015306,80.43420339633285,81.60143280029297,187865000
2010-02-02,81.75108749321485,82.74622267735865,81.46675826188353,82.58909606933594,216327900
2010-02-03,82.21497435932162,82.66391399937461,81.93813471759421,82.17756652832031,172730700
2010-02-04,81.54159085645924,81.57899869413097,79.6261303205877,79.64109802246094,356715700
2010-02-05,79.73087512300845,79.97030695758033,78.24939243050274,79.80570220947266,493585800
2010-02-08,79.86558185180475,80.30703782974324,79.16973196439875,79.2295913696289,224166900
2010-02-09,80.15738818824984,80.92058132292264,79.51391386235198,80.2247314453125,337820500
2010-02-10,80.09751087012472,80.50903130978284,79.39417734726553,80.06758117675781,240511500
2010-02-11,79.96283417133532,80.99538295673794,79.49893246331092,80.90559387207031,223591600
2010-02-12,80.05261803866573,80.88314852429394,79.69347311480281,80.8382568359375,304622100
