Date,Open,High,Low,Close,Volume,return_1d,return_5d,return_21d,vol_21d,vol_63d,vol_ratio,rsi_14,roc_10,sma_ratio_50_200,price_to_sma50,macd_hist,volume_zscore,target_return,target_label
2010-10-18,89.3555011280068,90.06129902868565,89.02916433973341,89.76531982421875,141204800,0.0049154584228734855,0.013876633768712185,0.05019016136301059,0.12735256170075246,0.16054721006552322,0.7932405779507272,71.18045005809299,3.9823832010809523,1.0023138502030018,1.0599928156615077,0.07607664445181528,-1.147910974944934,0.0035447040113210444,1
2010-10-19,88.93813106561448,89.43901691284985,88.05018732576939,88.58902740478516,280604700,-0.013190701470091357,-0.0023958617856334394,0.021824874524892627,0.1293648560088946,0.16058709066181598,0.8055744423524492,60.04784195982344,0.5946250614230264,1.0028687491339485,1.0452891477605961,-0.013083433977898462,1.7693483754160921,0.01690418226046552,1
2010-10-20,88.7483874213404,89.88677102278348,88.6952630848778,89.45418548583984,200051800,0.009718594453451466,-0.0004242192500297807,0.03355951884359081,0.1322277871771409,0.15597322525316332,0.8477595238703264,64.45157883601019,1.5858390076575857,1.003699016314345,1.054347740855102,-0.02458449342340252,0.17714006696804646,0.004317426735865752,1
2010-10-21,89.85639387454457,90.38004627995409,88.95327456112717,89.65148162841797,221585500,0.0022031265180984232,0.005687759007977323,0.04068761907016356,0.13008529095472093,0.15526467537231028,0.8378292785708563,65.38851323283576,1.9328361199731248,1.0051173046331296,1.0548969220062592,-0.02937283536693802,0.6149525489639145,0.0022831086345412636,1
2010-10-22,89.7881085952683,89.95507245211228,89.55284450068916,89.81846618652344,108212400,0.0018608642652979677,0.005507342189630173,0.0506932179452304,0.12482539789050072,0.15414313181201592,0.8098018797407761,66.2004864728219,1.5530973485679445,1.0067053494504734,1.0549214572419376,-0.0315702311044983,-1.63949259263051,0.0011819540118569762,1
2010-10-25,90.41800359714546,90.8885375140322,90.01577569905542,90.08407592773438,151145700,0.002952820244564357,0.0035447040113210444,0.033233526298105776,0.10639733161693807,0.1541740047105338,0.6901120056957861,67.50627639870945,1.7573974374630374,1.0084135996019488,1.0559765556981544,-0.02566249711748214,-0.7054917280957684,-0.0014329974553328334,0
2010-10-26,89.62874727040573,90.19034830655625,89.45419833557752,90.09928131103516,158982900,0.00016877677905320922,0.01690418226046552,0.0382041465723293,0.10400562645700802,0.15342298991480754,0.6779011836150507,67.5834852766311,1.4614076987169655,1.010139714645376,1.05408493693015,-0.030906049128863522,-0.5925706486255042,0.006297420234799696,1
2010-10-27,89.46936194225528,89.93989591821872,88.99124291112032,89.84123229980469,190024000,-0.002868161071148361,0.004317426735865752,0.03184173755161575,0.10504463609154653,0.15315209177767336,0.6858844360025909,64.77070447058873,0.3900795862612494,1.011534331641797,1.0493193748796916,-0.060232151456038,0.06839738616852381,0.01317517017515938,1
2010-10-28,90.35728523244698,90.39523366267392,89.42381406608615,89.85639953613281,168576000,0.0001688084167740498,0.0022831086345412636,0.03375544115059098,0.10450383621998623,0.15314077080350783,0.6824037496459595,64.86326921243597,0.8002719580957107,1.0129381374728796,1.0477886062236668,-0.08554210312843513,-0.3652359585527833,0.032081320016978436,1
2010-10-29,89.7653172787052,90.09924490099014,89.60594431082835,89.92469024658203,144305500,0.000759709642613737,0.0011819540118569762,0.037490486323519,0.10323331293339072,0.14700560582894354,0.702240655050349,65.30529207390724,0.6711719514165937,1.0147077089598728,1.0465133088971637,-0.10342283611811598,-0.8138913772833005,0.035076957997993236,1
2010-11-01,90.36489694761116,90.88096445125646,89.43901062135471,89.955078125,174074800,0.00033786877737448554,-0.0014329974553328334,0.033630940014040836,0.10296243306305082,0.1465583468607098,0.7025354424944976,65.51319460638456,0.21139377785635016,1.016486287774447,1.0447313071727637,-0.1178928898240108,-0.12295196061289189,0.03286338341583759,1
2010-11-02,90.63051622266929,90.88096201702108,90.38766127393626,90.66846466064452,158345900,0.007899194469185753,0.006297420234799696,0.04906220753266115,0.09953395123573262,0.1467751415911874,0.6781390237930371,70.05047568622412,2.3472853430909657,1.018526258272231,1.0506235891643363,-0.08561057126679938,-0.47734021373492175,0.017753640222924152,1
2010-11-03,90.8278312357094,91.08586206725974,89.89435415484337,91.0327377319336,226702800,0.004009588869211543,0.01317517017515938,0.033139832801761714,0.07674059030135676,0.1468398198215924,0.5226143044481744,72.07109052820628,1.7646488395376636,1.020859657896107,1.0520723705382606,-0.047801545895096,1.1095388594834474,0.017765312345918154,1
2010-11-04,92.04210405507142,92.83138401423876,91.04791760377208,92.78585052490234,215039400,0.019074958258593275,0.032081320016978436,0.05230151476574503,0.0974231198860652,0.1507982246292594,0.6460495150097555,79.30689405416496,3.496170771025864,1.0233273092668131,1.0691665812781177,0.08023095649849799,0.7637738026519116,-0.005084181277114276,0
